company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Albertsons,52,0,69690.4,850.2,300000,Food & Drug Stores,Boise,ID,no,no,no,yes,52,Vivek Sankaran,www.albertsonscompanies.com,ACI,14087
Walt Disney,53,-3,67418,1995,171000,Media,Burbank,CA,no,no,no,yes,50,Robert A. Chapek,www.thewaltdisneycompany.com,DIS,181438
Energy Transfer,54,27,67417,5470,12558,Energy,Dallas,TX,no,no,no,yes,81,Thomas E. Long/Marshall S. McCrea III,www.energytransfer.com,ET,32182
Lockheed Martin,55,-6,67044,6315,114000,Aerospace & Defense,Bethesda,MD,no,no,no,yes,49,James D. Taiclet Jr.,www.lockheedmartin.com,LMT,103510
Freddie Mac,56,-9,65898,12109,7301,Financials,McLean,VA,no,no,no,yes,47,Michael J. DeVito,www.freddiemac.com,FMCC,2055
Goldman Sachs Group,57,2,64989,21635,43900,Financials,New York,NY,no,no,no,yes,59,David M. Solomon,www.goldmansachs.com,GS,113877
Raytheon Technologies,58,-1,64388,3864,174000,Aerospace & Defense,Waltham,MA,no,no,no,yes,57,Gregory J. Hayes,www.rtx.com,RTX,139531
HP,59,-3,63487,6503,51000,Technology,Palo Alto,CA,no,no,no,yes,56,Enrique J. Lores,www.hp.com,HPQ,33951
Boeing,60,-6,62286,-4202,142000,Aerospace & Defense,Chicago,IL,no,no,no,no,54,David L. Calhoun,www.boeing.com,BA,92372
Morgan Stanley,61,0,61121,15034,74814,Financials,New York,NY,no,no,no,yes,61,James P. Gorman,www.morganstanley.com,MS,142829
HCA Healthcare,62,0,58752,6956,244000,Health Care,Nashville,TN,no,no,no,yes,62,Samuel N. Hazen,www.hcahealthcare.com,HCA,52649
AbbVie,63,5,56197,11542,50000,Health Care,North Chicago,IL,no,no,no,yes,68,Richard A. Gonzalez,www.abbvie.com,ABBV,264607
Dow,64,18,54968,6311,35700,Chemicals,Midland,MI,no,no,no,yes,82,James R. Fitterling,www.dow.com,DOW,38189
Tesla,65,35,53823,5519,99290,Motor Vehicles & Parts,Austin,TX,no,yes,no,yes,100,Elon Musk,www.tesla.com,TSLA,763395
Allstate,66,4,53228,1599,54500,Financials,Northbrook,IL,no,no,no,yes,70,Thomas J. Wilson,www.allstate.com,ALL,33721
American International Group,67,5,52057,9388,36600,Financials,New York,NY,no,no,no,yes,72,Peter S. Zaffino,www.aig.com,AIG,40988
Best Buy,68,-2,51761,2454,81375,Retailing,Richfield,MN,no,no,yes,yes,66,Corie S. Barry,www.investors.bestbuy.com,BBY,17106
Charter Communications,69,-5,51682,4654,93700,Telecommunications,Stamford,CT,no,no,no,yes,64,Thomas M. Rutledge,www.charter.com,CHTR,89514
Sysco,70,-10,51297.8,524.2,57710,Wholesalers,Houston,TX,no,no,no,yes,60,Kevin P. Hourican,www.sysco.com,SYY,44508
Merck,71,-6,51216,13049,67500,Health Care,Kenilworth,NJ,no,no,no,yes,65,Robert Davis,https://www.merck.com,MRK,218166
